Program Index,Program,Program Type,File Reference Type,DDS File,File Usage,Access Type,Device Type,Source File
4,ACTBALE1,RPG,Database File,E10902LE,Input,Full Procedural,DISK,ACTBALE1_RPG.txt
7,ACTBALW,RPG,Database File,f0902le,Input,Full Procedural,disk,ACTBALW.txt
9,ACTRETE1,RPG,Database File,E10901LA,Input,Full Procedural,DISK,ACTRETE1_RPG.txt
11,ACTRETW,RPG,Database File,f0901la,Input,Full Procedural,disk,ACTRETW.txt
14,ACTSELE1,RPG,Display File,actdsele1,Combined,Full Procedural,workstn,ACTSELE1.txt
14,ACTSELE1,RPG,Database File,e10901le,Input,Full Procedural,disk,ACTSELE1.txt
15,ACTSELW,RPG,Display File,actdselw,Combined,Full Procedural,workstn,ACTSELW.txt
15,ACTSELW,RPG,Database File,f0901le,Input,Full Procedural,disk,ACTSELW.txt
18,ADDCAVR,RPG,Database File,CAVLLSP,Input,Full Procedural,DISK,ADDCAVR.txt
18,ADDCAVR,RPG,Database File,YYVLLSP,Output,Full Procedural,DISK,ADDCAVR.txt
19,ADDPKVR,RPG,Database File,PKVLLSP,Input,Full Procedural,DISK,ADDPKVR.txt
19,ADDPKVR,RPG,Database File,YYVLLSP,Output,Full Procedural,DISK,ADDPKVR.txt
35,AR300,RPG,Database File,arp300,Output,Full Procedural,disk,AR300.txt
35,AR300,RPG,Database File,arp301,Output,Full Procedural,disk,AR300.txt
35,AR300,RPG,Database File,arp302,Output,Full Procedural,disk,AR300.txt
35,AR300,RPG,Database File,arl302a,Input,Full Procedural,disk,AR300.txt
35,AR300,RPG,Database File,arp303,Output,Full Procedural,disk,AR300.txt
35,AR300,RPG,Database File,arp304,Output,Full Procedural,disk,AR300.txt
35,AR300,RPG,Database File,arp306,Unknown,Full Procedural,disk,AR300.txt
35,AR300,RPG,Database File,arbcrel3,Input,Full Procedural,disk,AR300.txt
35,AR300,RPG,Database File,arbcrel6,Input,Full Procedural,disk,AR300.txt
35,AR300,RPG,Database File,arbecpl1,Input,Full Procedural,disk,AR300.txt
35,AR300,RPG,Database File,arbecpl8,Input,Full Procedural,disk,AR300.txt
35,AR300,RPG,Database File,caabrel3,Input,Full Procedural,disk,AR300.txt
35,AR300,RPG,Database File,pmadcpl1,Input,Full Procedural,disk,AR300.txt
35,AR300,RPG,Database File,cabbreld,Input,Full Procedural,disk,AR300.txt
35,AR300,RPG,Database File,cabbrel1,Input,Full Procedural,disk,AR300.txt
35,AR300,RPG,Database File,caeorel1,Input,Full Procedural,disk,AR300.txt
35,AR300,RPG,Database File,caeorel5,Input,Full Procedural,disk,AR300.txt
35,AR300,RPG,Database File,opbfcplo,Input,Full Procedural,disk,AR300.txt
35,AR300,RPG,Database File,pdjerel1,Input,Full Procedural,disk,AR300.txt
36,AR301,RPG,Database File,arl301a,Unknown,Full Procedural,disk,AR301.txt
36,AR301,RPG,Database File,cabbrelf,Input,Full Procedural,disk,AR301.txt
37,AR302,RPG,Database File,ARP300,Input,Full Procedural,DISK,AR302.txt
37,AR302,RPG,Database File,ARL302B,Input,Full Procedural,DISK,AR302.txt
37,AR302,RPG,Database File,PNFMCPL0,Output,Full Procedural,DISK,AR302.txt
38,AR310,RPG,Database File,ARP310,Output,Full Procedural,DISK,AR310.txt
38,AR310,RPG,Database File,ARP311,Update,Full Procedural,DISK,AR310.txt
38,AR310,RPG,Database File,CABBREL0IF,Unknown,Full Procedural,DISK,AR310.txt
38,AR310,RPG,Database File,OMHSTPLAIF,Unknown,Full Procedural,DISK,AR310.txt
38,AR310,RPG,Database File,OMHSTPLPIF,Unknown,Full Procedural,DISK,AR310.txt
39,AR362A,RPG,Database File,ARP309,Input,Full Procedural,DISK,AR362A.txt
39,AR362A,RPG,Database File,OEIP362AO,Unknown,Full Procedural,DISK,AR362A.txt
39,AR362A,RPG,Database File,OMHSTPLAIF,Unknown,Full Procedural,DISK,AR362A.txt
41,AR362E,RPG,Database File,ARP309,Input,Full Procedural,DISK,AR362E.txt
41,AR362E,RPG,Database File,OEIP362EO,Unknown,Full Procedural,DISK,AR362E.txt
41,AR362E,RPG,Database File,OMHSTPLAIF,Unknown,Full Procedural,DISK,AR362E.txt
42,AR410,RPG,Display File,ARD410,Combined,Full Procedural,WORKSTN,AR410.txt
44,AR600,RPG,Database File,arl300a,Input,Full Procedural,disk,AR600.txt
44,AR600,RPG,Database File,arp301,Input,Full Procedural,disk,AR600.txt
44,AR600,RPG,Database File,arl301a,Input,Full Procedural,disk,AR600.txt
44,AR600,RPG,Database File,arp302,Input,Full Procedural,disk,AR600.txt
44,AR600,RPG,Database File,arp303,Input,Full Procedural,disk,AR600.txt
44,AR600,RPG,Database File,poavcpl1,Input,Full Procedural,disk,AR600.txt
